# JWST blank sky Saha et al.
# https://arxiv.org/pdf/2503.14582
# mass [eV]     photon coupling [GeV^-1]
# Limits from https://arxiv.org/abs/2503.14582
# mass [eV]	photon coupling [GeV^-1]
4.759109e-01	5.897569e-11
4.759109e-01	3.712480e-11
4.759112e-01	5.542495e-11
4.759329e-01	4.748956e-11
4.759331e-01	4.256878e-11
4.759377e-01	5.570067e-11
4.759378e-01	5.579101e-11
4.759421e-01	5.458579e-11
4.759505e-01	5.412706e-11
4.759621e-01	4.077941e-11
4.759717e-01	3.757031e-11
4.759903e-01	5.022937e-11
4.759905e-01	5.038415e-11
4.759936e-01	4.854311e-11
4.759938e-01	4.329672e-11
4.759983e-01	5.840501e-11
4.759985e-01	5.369450e-11
4.759985e-01	5.529281e-11
4.760028e-01	5.661395e-11
4.760112e-01	5.377204e-11
4.760324e-01	3.809468e-11
4.760413e-01	5.815368e-11
4.760470e-01	5.915351e-11
4.760543e-01	4.899671e-11
4.760545e-01	4.369238e-11
4.760591e-01	5.513206e-11
4.760592e-01	5.500384e-11
4.760592e-01	5.200512e-11
4.760635e-01	5.918742e-11
4.760719e-01	5.277259e-11
4.760932e-01	3.865849e-11
4.761053e-01	5.646901e-11
4.761060e-01	5.999050e-11
4.761077e-01	5.690866e-11
4.761150e-01	4.881681e-11
4.761152e-01	4.375061e-11
4.761198e-01	5.248198e-11
4.761200e-01	5.490634e-11
4.761200e-01	5.058243e-11
4.761256e-01	3.765154e-11
4.761326e-01	5.137564e-11
4.761521e-01	5.655623e-11
4.761538e-01	5.306228e-11
4.761540e-01	3.921808e-11
4.761541e-01	4.893797e-11
4.761541e-01	4.672453e-11
4.761546e-01	5.675528e-11
4.761668e-01	5.900995e-11
4.761685e-01	5.467969e-11
4.761758e-01	4.807439e-11
4.761759e-01	4.351445e-11
4.761806e-01	5.041341e-11
4.761807e-01	5.497378e-11
4.761808e-01	4.939335e-11
4.761933e-01	4.978601e-11
4.762048e-01	5.635829e-11
4.762148e-01	3.973168e-11
4.762276e-01	5.828869e-11
4.762293e-01	5.253695e-11
4.762365e-01	4.691239e-11
4.762367e-01	4.306231e-11
4.762414e-01	4.887723e-11
4.762415e-01	5.517092e-11
4.762416e-01	4.841929e-11
4.762541e-01	4.814646e-11
4.762689e-01	5.380089e-11
4.762756e-01	4.016615e-11
4.762885e-01	5.777693e-11
4.762892e-01	3.566097e-11
4.762901e-01	5.054839e-11
4.762973e-01	4.550754e-11
4.762974e-01	4.248841e-11
4.763022e-01	4.782918e-11
4.763023e-01	5.545778e-11
4.763024e-01	4.765439e-11
4.763149e-01	4.654257e-11
4.763158e-01	4.926956e-11
4.763175e-01	5.622483e-11
4.763177e-01	4.260713e-11
4.763177e-01	4.480051e-11
4.763183e-01	5.490849e-11
4.763364e-01	4.050233e-11
4.763493e-01	5.743938e-11
4.763510e-01	4.876527e-11
4.763581e-01	4.401301e-11
4.763581e-01	5.617920e-11
4.763582e-01	4.188454e-11
4.763631e-01	4.723510e-11
4.763631e-01	5.579440e-11
4.763632e-01	4.710194e-11
4.763680e-01	5.836534e-11
4.763685e-01	5.403041e-11
4.763756e-01	4.504107e-11
4.763862e-01	5.866008e-11
4.763972e-01	4.073718e-11
4.764101e-01	5.725742e-11
4.764118e-01	4.722904e-11
4.764189e-01	4.254797e-11
4.764189e-01	5.295222e-11
4.764190e-01	4.132807e-11
4.764239e-01	4.707220e-11
4.764239e-01	5.614604e-11
4.764240e-01	4.677034e-11
4.764287e-01	5.638905e-11
4.764326e-01	5.191367e-11
4.764364e-01	4.367701e-11
4.764471e-01	5.472472e-11
4.764529e-01	3.425169e-11
4.764581e-01	4.088876e-11
4.764658e-01	5.931375e-11
4.764710e-01	5.722523e-11
4.764727e-01	4.595672e-11
4.764796e-01	4.559009e-11
4.764797e-01	4.119163e-11
4.764797e-01	5.048948e-11
4.764798e-01	4.087755e-11
4.764811e-01	5.740637e-11
4.764813e-01	5.985441e-11
4.764815e-01	4.163728e-11
4.764816e-01	4.424462e-11
4.764821e-01	5.475305e-11
4.764848e-01	4.732808e-11
4.764848e-01	5.648818e-11
4.764849e-01	4.666972e-11
4.764895e-01	5.496455e-11
4.764973e-01	4.248486e-11
4.765079e-01	5.193919e-11
4.765190e-01	4.096541e-11
4.765266e-01	5.780870e-11
4.765319e-01	5.734497e-11
